filename,word
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,accounts
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,accuracy
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,accuracy
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,accuracy
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accurate
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,achieve
data/Facebook newsroom/Hard Questions.txt,achieve
data/Facebook newsroom/Hard Questions.txt,acknowledged
data/Facebook newsroom/Hard Questions.txt,acknowledged
data/Facebook newsroom/You’re in Charge.txt,acknowledgement
data/Facebook newsroom/Hard Questions.txt,acted
data/Facebook newsroom/Hard Questions.txt,acted
data/Facebook newsroom/Authenticity Matters.txt,action
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,action
data/Facebook newsroom/Data Abuse Bounty.txt,action
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,action
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,action
data/Facebook newsroom/Hard Questions.txt,action
data/Facebook newsroom/Hard Questions.txt,action
data/Facebook newsroom/Hard Questions.txt,action
data/Facebook newsroom/Hard Questions.txt,action
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,action
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,actions
data/Facebook newsroom/Hard Questions.txt,actions
data/Facebook newsroom/Catalyst Housing Fund Attracts New Investor.txt,active
data/Facebook newsroom/Hard Questions.txt,active
data/Facebook newsroom/Authenticity Matters.txt,activists
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,activities
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,activity
data/Facebook newsroom/Authenticity Matters.txt,activity
data/Facebook newsroom/Authenticity Matters.txt,activity
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,activity
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,activity
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
data/Facebook newsroom/Hard Questions.txt,activity
"data/Facebook newsroom/We’re Making Our Terms and Data Policy Clearer, Without New Rights to Use Your Data on Facebook.txt",activity
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,actor
data/Facebook newsroom/Hard Questions.txt,actor
